tags,owner.account_id,owner.user_type,owner.display_name,is_answered,has_accepted,view_count,up_vote_count,creation_date,question_id,share_link,link,title,is_SME,status,department,job_title,user_tenure,acc_answer_owner_id,acc_answer_user_type,acc_answer_display_name,acc_answer_up_vote_count,acc_answer_creation_date,acc_answer_id,acc_answer_is_SME,acc_answer_department,acc_answer_job_title,acc_answer_user_tenure
overflowai-generated,1,Admin,Test Engineering Admin,False,FALSE,2,0,2025-04-10T18:12:41.99,916,https://support-autotest.stackenterprise.co/q/916/1,https://support-autotest.stackenterprise.co/questions/916,"What color is the cord, white or light gray?",False,Open,,Engineer,"776 days, 10:12:43",,,,,,,,,,
overflowai-generated,1,Admin,Test Engineering Admin,False,FALSE,2,0,2025-04-10T14:35:34.123,914,https://support-autotest.stackenterprise.co/q/914/1,https://support-autotest.stackenterprise.co/questions/914,What are the options for buying carrots?,False,Open,,Engineer,"776 days, 10:12:43",,,,,,,,,,
food,2,Registered,Test Question Asker,False,FALSE,6,0,2025-04-10T14:13:56.37,913,https://support-autotest.stackenterprise.co/q/913/1,https://support-autotest.stackenterprise.co/questions/913,Bacon Bacon Bacon,False,Open,,Tester,"771 days, 20:44:03",,,,,,,,,,
overflowai-generated,1,Admin,Test Engineering Admin,False,FALSE,2,0,2025-04-09T21:56:56.323,911,https://support-autotest.stackenterprise.co/q/911/1,https://support-autotest.stackenterprise.co/questions/911,What is the favorite color of the team members?,False,Open,,Engineer,"776 days, 10:12:43",,,,,,,,,,
overflowai-generated,1,Admin,Test Engineering Admin,False,FALSE,2,0,2025-04-09T21:56:01.87,909,https://support-autotest.stackenterprise.co/q/909/1,https://support-autotest.stackenterprise.co/questions/909,What is the purpose of the thread summary requested by <@U07H69QFHRA>?,False,Open,,Engineer,"776 days, 10:12:43",,,,,,,,,,
overflowai-generated,1,Admin,Test Engineering Admin,False,FALSE,1,0,2025-04-09T21:37:06.393,907,https://support-autotest.stackenterprise.co/q/907/1,https://support-autotest.stackenterprise.co/questions/907,What is the process for requesting a thread summary in our communication platform?,False,Open,,Engineer,"776 days, 10:12:43",,,,,,,,,,
overflowai-generated,1,Admin,Test Engineering Admin,False,FALSE,1,0,2025-04-09T21:36:38.097,905,https://support-autotest.stackenterprise.co/q/905/1,https://support-autotest.stackenterprise.co/questions/905,What is the process for requesting a thread summary in our communication platform?,False,Open,,Engineer,"776 days, 10:12:43",,,,,,,,,,
backstage,1,Admin,Test Engineering Admin,False,FALSE,2,0,2025-04-07T15:28:15.97,904,https://support-autotest.stackenterprise.co/q/904/1,https://support-autotest.stackenterprise.co/questions/904,What is a PDEC Demo?,False,Open,,Engineer,"776 days, 10:12:43",,,,,,,,,,
backstage,1,Admin,Test Engineering Admin,False,FALSE,3,0,2025-04-02T13:33:44.147,903,https://support-autotest.stackenterprise.co/q/903/1,https://support-autotest.stackenterprise.co/questions/903,Backstage test question1231241,False,Open,,Engineer,"776 days, 10:12:43",,,,,,,,,,
test,1,Admin,Test Engineering Admin,False,FALSE,3,0,2025-04-01T22:25:04.62,902,https://support-autotest.stackenterprise.co/q/902/1,https://support-autotest.stackenterprise.co/questions/902,This is a test of pri chan notifications,False,Open,,Engineer,"776 days, 10:12:43",,,,,,,,,,
